instruction,input,output
"The ACSC ISM Guideline for ""Guidelines for Communications Infrastructure"" includes which sections?",,"Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Cabling infrastructure, Emanation security, Emanation security, Emanation security, Emanation security"
"The ACSC ISM Guideline for ""Guidelines for Communications Systems"" includes which sections?",,"Telephone systems, Telephone systems, Telephone systems, Telephone systems, Telephone systems, Telephone systems, Telephone systems, Telephone systems, Telephone systems, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Video conferencing and Internet Protocol telephony, Fax machines and multifunction devices, Fax machines and multifunction devices, Fax machines and multifunction devices, Fax machines and multifunction devices, Fax machines and multifunction devices, Fax machines and multifunction devices, Fax machines and multifunction devices, Fax machines and multifunction devices"
"The ACSC ISM Guideline for ""Guidelines for Cryptography"" includes which sections?",,"Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, Cryptographic fundamentals, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Algorithms, ASD-Approved Cryptographic Protocols, Transport Layer Security, Transport Layer Security, Transport Layer Security, Transport Layer Security, Transport Layer Security, Transport Layer Security, Transport Layer Security, Transport Layer Security, Transport Layer Security, Transport Layer Security, Secure Shell, Secure Shell, Secure Shell, Secure Shell, Secure Shell, Secure Shell, Secure Shell, Secure/Multipurpose Internet Mail Extension, Internet Protocol Security, Internet Protocol Security, Internet Protocol Security, Internet Protocol Security, Internet Protocol Security, Internet Protocol Security, Internet Protocol Security, Internet Protocol Security, Internet Protocol Security"
"The ACSC ISM Guideline for ""Guidelines for Cyber Security Incidents"" includes which sections?",,"Managing cyber security incidents, Managing cyber security incidents, Managing cyber security incidents, Managing cyber security incidents, Managing cyber security incidents, Managing cyber security incidents, Managing cyber security incidents, Managing cyber security incidents, Managing cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents, Responding to cyber security incidents"
"The ACSC ISM Guideline for ""Guidelines for Cyber Security Roles"" includes which sections?",,"Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, Chief Information Security Officer, System owners, System owners, System owners, System owners, System owners, System owners, System owners, System owners, System owners"
"The ACSC ISM Guideline for ""Guidelines for Data Transfers"" includes which sections?",,"Data transfers, Data transfers, Data transfers, Data transfers, Data transfers, Data transfers, Data transfers, Data transfers"
"The ACSC ISM Guideline for ""Guidelines for Database Systems"" includes which sections?",,"Database servers, Database servers, Database servers, Database servers, Database servers, Database servers, Databases, Databases, Databases, Databases, Databases, Databases, Databases, Databases, Databases, Databases, Databases"
"The ACSC ISM Guideline for ""Guidelines for Email"" includes which sections?",,"Email usage, Email usage, Email usage, Email usage, Email usage, Email usage, Email usage, Email usage, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers, Email gateways and servers"
"The ACSC ISM Guideline for ""Guidelines for Enterprise Mobility"" includes which sections?",,"Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device management, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage, Mobile device usage"
"The ACSC ISM Guideline for ""Guidelines for Evaluated Products"" includes which sections?",,"Evaluated product procurement, Evaluated product procurement, Evaluated product usage"
